"Year","Deviation"
1950,-3.68841e-06
1951,-5.35582e-06
1952,-8.14491e-06
1953,-1.24034e-05
1954,-1.88522e-05
1955,-2.87377e-05
1956,-4.35069e-05
1957,-6.60972e-05
1958,-0.000100322
1959,-0.00015251
1960,-0.000231232
1961,-0.000351946
1962,-0.000533841
1963,-0.0008103
1964,-0.00123068
1965,-0.00186569
1966,-0.00282032
1967,-0.00426587
1968,-0.00644542
1969,-0.00970268
1970,-0.0144765
1971,-0.0214445
1972,-0.0316645
1973,-0.0473046
1974,-0.0706774
1975,-0.102947
1976,-0.148807
1977,-0.208982
1978,-0.281061
1979,-0.346399
1980,-0.251149
1981,0.0530605
1982,-0.142494
1983,0.161632
1984,0.00480231
1985,0.042339
1986,0.0746475
1987,0.0935529
1988,-0.265381
1989,-0.324609
1990,-0.289243
1991,-0.190109
1992,-0.573232
1993,-0.240296
1994,-0.346855
1995,-0.648125
1996,-0.682683
1997,-0.760188
1998,-0.388724
1999,-0.643693
2000,-0.214487
2001,-0.862568
2002,-0.107641
2003,-0.215936
2004,0.321667
2005,0.225013
2006,0.685193
2007,1.05527
2008,0.480268
2009,0.273611
2010,1.1435
2011,0.973341
2012,-0.136614
2013,-0.203882
2014,0.457544
2015,0.823179
2016,0.638102
2017,-0.000534143
2018,0.277346
2019,0.639188
2020,-0.292732
2021,-0.169135
2022,0.810708
2023,-2.6739e-10
2024,0
